name,latitude (deg),longitude (deg),area cost factor
"Bexar, Texas",29.5913,-98.5985,0.57
"Grant, New Mexico",32.7807,-108.4618,0.66
"Pennington, Minnesota",48.1198,-96.1977,0.71
"Colfax, New Mexico",36.8084,-104.3066,0.66
"Shelby, Tennessee",35.1154,-90.028,0.57
"Hale, Texas",34.2012,-101.7248,0.57
"Bell, Texas",31.0702,-97.3692,0.57
"Gilchrist, Florida",29.6184,-82.8184,0.57
"San Luis Obispo, California",35.1346,-120.5708,1.0
"Colusa, California",39.1573,-122.1441,1.0
"Chaves, New Mexico",33.394,-104.6377,0.66
"Spartanburg, South Carolina",34.8781,-81.991,0.67
"Stutsman, North Dakota",46.8922,-98.734,0.71
"Page, Iowa",40.8434,-95.2658,0.71
"Santa Clara, California",37.162,-121.9906,1.0
"Gila, Arizona",33.3666,-110.7171,0.66
"San Bernardino, California",34.8988,-114.7668,1.0
"Hall, Georgia",34.23,-83.8583,0.67
"Fairfax, Virginia",38.7915,-77.172,0.81
"Preston, West Virginia",39.557,-79.8034,0.81
"Luna, New Mexico",31.8253,-108.0741,0.66
"Nemaha, Kansas",39.914,-96.0522,0.71
"Grays Harbor, Washington",46.9592,-123.775,1.0
"Carter, Oklahoma",34.1728,-97.1681,0.62
"Clark, Washington",45.6073,-122.5675,1.0
"Glacier, Montana",48.3871,-113.2648,0.66
"Henry, Iowa",40.9593,-91.5192,0.71
"Franklin, Indiana",39.4152,-85.0129,0.71
"Davis, Utah",40.8578,-111.9053,0.62
"Pima, Arizona",32.2502,-110.944,0.66
"Shannon, Missouri",37.4088,-91.4669,0.71
"Catron, New Mexico",33.6218,-108.895,0.66
"Dillon, South Carolina",34.2881,-79.2752,0.67
"Nueces, Texas",27.8107,-97.4598,0.57
"Mobile, Alabama",30.6249,-88.1248,0.57
"McDuffie, Georgia",33.4129,-82.3854,0.67
"Lincoln, New Mexico",33.5416,-105.5358,0.66
"Denton, Texas",33.1965,-97.1392,0.57
"Garland, Arkansas",34.5096,-93.0541,0.57
"Jackson, Illinois",37.8893,-89.4921,0.71
"Travis, Texas",30.3057,-97.7441,0.57
"Erie, New York",42.9003,-78.6704,0.81
"Polk, Florida",27.904,-81.8434,0.57
"Richland, Montana",47.6889,-104.3141,0.66
"Thomas, Georgia",30.8534,-83.9455,0.67
"Indiana, Pennsylvania",40.4561,-79.0281,0.81
"Jefferson, Alabama",33.5053,-86.8491,0.57
"Miami-Dade, Florida",25.8986,-80.3448,0.57
"Bayfield, Wisconsin",46.5021,-90.9244,0.71
"Bulloch, Georgia",32.3077,-81.8735,0.67
"Volusia, Florida",29.1069,-81.0175,0.57
"Ouachita, Arkansas",33.613,-92.7744,0.57
"Floyd, Indiana",38.2996,-85.8471,0.71
"Cascade, Montana",47.5064,-111.3008,0.66
