Set parameter TokenServer to value "license-1.hpc.nrel.gov"
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 0.001
Set parameter MIPGap to value 0.001
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 36 physical cores, 36 logical processors, using up to 32 threads
Optimize a model with 288636 rows, 1198496 columns and 2444160 nonzeros
Model fingerprint: 0xae864d2d
Variable types: 1184560 continuous, 13936 integer (13936 binary)
Coefficient statistics:
  Matrix range     [3e-06, 7e+03]
  Objective range  [1e-01, 6e+06]
  Bounds range     [7e+03, 1e+08]
  RHS range        [1e-03, 2e+05]
Presolve removed 271484 rows and 251116 columns
Presolve time: 3.10s
Presolved: 17152 rows, 947380 columns, 1901192 nonzeros
Variable types: 947112 continuous, 268 integer (268 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.0651775e+09   8.455220e+05   7.001499e+11      7s
  168673    2.0966402e+09   0.000000e+00   9.625816e+06     10s
  199775    2.0938040e+09   0.000000e+00   0.000000e+00     11s
Concurrent spin time: 0.35s

Solved with primal simplex

Root relaxation: objective 2.093804e+09, 199775 iterations, 7.04 seconds (6.38 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2.0938e+09    0   16          - 2.0938e+09      -     -   12s
     0     0 2.0941e+09    0    9 2.1142e+09 2.0941e+09  0.95%     -   46s
     0     0 2.0941e+09    0    9 2.1142e+09 2.0941e+09  0.95%     -   48s
     0     0 2.0941e+09    0    9 2.1142e+09 2.0941e+09  0.95%     -   51s
     0     0 2.0941e+09    0    9 2.1142e+09 2.0941e+09  0.95%     -   52s
     0     0 2.0941e+09    0    9 2.1142e+09 2.0941e+09  0.95%     -   53s
     0     0 2.0941e+09    0    9 2.1142e+09 2.0941e+09  0.95%     -   58s
     0     2 2.0941e+09    0    9 2.1142e+09 2.0941e+09  0.95%     -   61s
     7    16 2.0941e+09    3   10 2.1142e+09 2.0941e+09  0.95%   257   65s
H   20    32                    2.110075e+09 2.0941e+09  0.76%   264   68s
    31    64 2.0942e+09    5   10 2.1101e+09 2.0941e+09  0.76%   283   71s
H   36    64                    2.109254e+09 2.0941e+09  0.72%   253   71s
H   49    64                    2.099760e+09 2.0941e+09  0.27%   263   71s
H   50    64                    2.099716e+09 2.0941e+09  0.27%   263   71s
    95   128 2.0942e+09    7    9 2.0997e+09 2.0941e+09  0.27%   266  138s
H  111   128                    2.099706e+09 2.0941e+09  0.27%   256  138s
   127   160 2.0942e+09    8    8 2.0997e+09 2.0941e+09  0.27%   236  140s
   191   224 2.0942e+09    9    7 2.0997e+09 2.0941e+09  0.27%   213  146s
   223   374 2.0942e+09   10    6 2.0997e+09 2.0941e+09  0.27%   202  150s
   373   659 2.0942e+09   13    3 2.0997e+09 2.0941e+09  0.27%   183  161s
   658   691 2.0942e+09   26    9 2.0997e+09 2.0941e+09  0.27%   196  280s
H  659   691                    2.099683e+09 2.0941e+09  0.27%   195  280s
   690  1256 2.0942e+09   27   10 2.0997e+09 2.0941e+09  0.27%   198  304s
  1255  2140 2.0943e+09   44   11 2.0997e+09 2.0941e+09  0.27%   193  331s
  2139  2172 2.0944e+09   71    4 2.0997e+09 2.0941e+09  0.27%   186  454s
  2171  3053 2.0944e+09   72    6 2.0997e+09 2.0941e+09  0.27%   186  487s
  3107  3911 2.0944e+09  105    4 2.0997e+09 2.0941e+09  0.27%   169  513s
  4077  4854 2.0945e+09  138    3 2.0997e+09 2.0941e+09  0.27%   148  532s
  5133  4883 2.0946e+09  171    1 2.0997e+09 2.0941e+09  0.27%   130  634s
  5167  5748 2.0946e+09  172    1 2.0997e+09 2.0941e+09  0.27%   129  652s
  6203  6464 2.0983e+09  200    3 2.0997e+09 2.0941e+09  0.27%   123  672s
  7226  7247 2.0991e+09  227    3 2.0997e+09 2.0941e+09  0.27%   122  692s
  8242  7978 2.0942e+09   22    4 2.0997e+09 2.0941e+09  0.27%   125  713s
  9023  8779 2.0954e+09   42    3 2.0997e+09 2.0941e+09  0.27%   137  736s
  9909  9601 2.0972e+09   62    5 2.0997e+09 2.0941e+09  0.27%   144  756s
 10886  9602 2.0962e+09   65    9 2.0997e+09 2.0941e+09  0.27%   146  832s
 10888  9603 2.0965e+09   45   16 2.0997e+09 2.0941e+09  0.27%   146  856s
 10889  9604 2.0961e+09  134   21 2.0997e+09 2.0941e+09  0.27%   146  887s
 10890  9605 2.0943e+09   23   15 2.0997e+09 2.0941e+09  0.27%   146  902s
 10892  9606 2.0986e+09   98   14 2.0997e+09 2.0941e+09  0.27%   146  905s
 10895  9608 2.0943e+09   23    9 2.0997e+09 2.0941e+09  0.27%   146  922s
 10896  9609 2.0955e+09   91   11 2.0997e+09 2.0941e+09  0.27%   146  952s
 10897  9609 2.0964e+09   57   10 2.0997e+09 2.0941e+09  0.27%   146  961s
 10899  9611 2.0971e+09   60   10 2.0997e+09 2.0941e+09  0.26%   146  983s
 10900  9611 2.0960e+09  141   10 2.0997e+09 2.0941e+09  0.26%   146 1006s
 10901  9612 2.0963e+09   71   11 2.0997e+09 2.0941e+09  0.26%   146 1027s
 10902  9613 2.0944e+09   30   11 2.0997e+09 2.0941e+09  0.26%   146 1062s
 10903  9613 2.0945e+09   23   11 2.0997e+09 2.0941e+09  0.26%   146 1087s
 10904  9614 2.0942e+09   20   11 2.0997e+09 2.0941e+09  0.26%   146 1116s
 10905  9615 2.0993e+09  180   10 2.0997e+09 2.0941e+09  0.26%   146 1125s
 10908  9617 2.0954e+09  104   11 2.0997e+09 2.0941e+09  0.26%   146 1145s
 10909  9617 2.0946e+09   76   11 2.0997e+09 2.0941e+09  0.26%   146 1179s
 10910  9618 2.0948e+09  157   11 2.0997e+09 2.0942e+09  0.26%   146 1211s
 10911  9619 2.0959e+09   44   11 2.0997e+09 2.0942e+09  0.26%   146 1238s
 10912  9619 2.0945e+09   16   10 2.0997e+09 2.0942e+09  0.26%   146 1254s
 10913  9620 2.0993e+09   95    9 2.0997e+09 2.0942e+09  0.26%   146 1272s
 10914  9621 2.0947e+09  102    9 2.0997e+09 2.0942e+09  0.26%   146 1287s
 10915  9621 2.0953e+09   72    9 2.0997e+09 2.0942e+09  0.26%   146 1307s
 10916  9622 2.0960e+09  142    9 2.0997e+09 2.0942e+09  0.26%   146 1324s
 10917  9623 2.0954e+09  130    9 2.0997e+09 2.0942e+09  0.26%   146 1347s
 10918  9623 2.0944e+09   72    9 2.0997e+09 2.0942e+09  0.26%   146 1363s
 10919  9624 2.0989e+09  225    9 2.0997e+09 2.0942e+09  0.26%   146 1381s
 10920  9628 2.0942e+09   14   11 2.0997e+09 2.0942e+09  0.26%   165 1390s
 10922  9631 2.0942e+09   15   10 2.0997e+09 2.0942e+09  0.26%   165 1396s
 10926  9638 2.0942e+09   16   10 2.0997e+09 2.0942e+09  0.26%   165 1403s
 10934  9651 2.0944e+09   17   13 2.0997e+09 2.0942e+09  0.26%   165 1411s
 10950  9678 2.0944e+09   18   16 2.0997e+09 2.0942e+09  0.26%   165 1419s
 10973  9670 2.0943e+09   18    9 2.0997e+09 2.0942e+09  0.26%   166 1420s
 11014  9720 2.0945e+09   19   15 2.0997e+09 2.0942e+09  0.26%   166 1428s
 11046  9742 2.0944e+09   20   15 2.0997e+09 2.0942e+09  0.26%   167 1430s
 11078  9763 2.0945e+09   20   14 2.0997e+09 2.0942e+09  0.26%   167 1655s
 11161  9818 2.0944e+09   21   10 2.0997e+09 2.0942e+09  0.26%   167 1846s
 11193  9866 2.0944e+09   22   11 2.0997e+09 2.0942e+09  0.26%   167 1851s
 11251  9922 2.0944e+09   23   10 2.0997e+09 2.0942e+09  0.26%   167 1856s
 11327 10050 2.0944e+09   24    9 2.0997e+09 2.0942e+09  0.26%   167 1866s
 11480 10173 2.0944e+09   27    9 2.0997e+09 2.0942e+09  0.26%   168 1879s
 11654 10417 2.0945e+09   29    9 2.0997e+09 2.0942e+09  0.26%   169 1893s
 11956 10503 2.0946e+09   35    8 2.0997e+09 2.0942e+09  0.26%   171 1920s
 12143 10811 2.0945e+09   37   11 2.0997e+09 2.0942e+09  0.26%   172 1935s
 12513 11061 2.0945e+09   43   10 2.0997e+09 2.0942e+09  0.26%   175 1951s
 12886 11273 2.0945e+09   50    9 2.0997e+09 2.0942e+09  0.26%   177 1965s
 13232 11536 2.0945e+09   57   11 2.0997e+09 2.0942e+09  0.26%   180 1981s
 13646 11801 2.0945e+09   62    9 2.0997e+09 2.0942e+09  0.26%   181 2000s
 14092 12254 2.0945e+09   66    8 2.0997e+09 2.0942e+09  0.26%   181 2015s
 14759 12063 2.0945e+09   71    5 2.0997e+09 2.0942e+09  0.26%   179 2192s
 14792 12317 2.0954e+09   71    4 2.0997e+09 2.0942e+09  0.26%   179 2206s
 15098 13042 2.0952e+09   73    4 2.0997e+09 2.0942e+09  0.26%   179 2223s
 15967 13546 2.0946e+09   80    5 2.0997e+09 2.0942e+09  0.26%   176 2239s
 16924 13880 2.0946e+09   87    5 2.0997e+09 2.0942e+09  0.26%   173 2255s
 17853 14010 2.0946e+09   95    6 2.0997e+09 2.0942e+09  0.26%   170 2269s
 18609 14324 2.0946e+09  102    5 2.0997e+09 2.0942e+09  0.26%   171 2287s
 19323 14849 2.0946e+09  110    4 2.0997e+09 2.0942e+09  0.26%   173 2305s
 20126 15351 2.0946e+09  120    4 2.0997e+09 2.0942e+09  0.26%   174 2324s
 20965 15891 2.0946e+09  133    3 2.0997e+09 2.0942e+09  0.26%   176 2345s
 21878 16378 2.0947e+09  148    1 2.0997e+09 2.0942e+09  0.26%   177 2363s
 22854 16846 2.0966e+09  164    4 2.0997e+09 2.0942e+09  0.26%   176 2382s
 23848 17241 2.0949e+09  181    1 2.0997e+09 2.0942e+09  0.26%   174 2403s
 24820 17604 2.0975e+09  197    2 2.0997e+09 2.0942e+09  0.26%   173 2424s
 25739 18089 2.0986e+09  214    6 2.0997e+09 2.0942e+09  0.26%   173 2443s
 26666 18561     cutoff  230      2.0997e+09 2.0942e+09  0.26%   174 2465s
 27575 19122 2.0944e+09   39   13 2.0997e+09 2.0942e+09  0.26%   175 2484s
 28536 19610 2.0945e+09   72    6 2.0997e+09 2.0942e+09  0.26%   175 2504s
 29467 20216 2.0967e+09  105    3 2.0997e+09 2.0942e+09  0.26%   177 2574s
 30523 20816 2.0995e+09  135    2 2.0997e+09 2.0942e+09  0.26%   180 2599s
 31579 21456 2.0943e+09   34    9 2.0997e+09 2.0942e+09  0.26%   181 2624s
 32617 22014 2.0959e+09   45    6 2.0997e+09 2.0942e+09  0.26%   181 2645s
 33596 22565 2.0975e+09   54    4 2.0997e+09 2.0942e+09  0.26%   181 2664s
 34571 23034 2.0993e+09   71    4 2.0997e+09 2.0942e+09  0.26%   181 2683s
 35581 23361 2.0994e+09   87    5 2.0997e+09 2.0942e+09  0.26%   181 2702s
 36599 23634 2.0994e+09  104    2 2.0997e+09 2.0942e+09  0.26%   180 2719s
 37580 23840 2.0995e+09  123    1 2.0997e+09 2.0942e+09  0.26%   180 2736s
 38511 24143 2.0997e+09  142    1 2.0997e+09 2.0942e+09  0.26%   179 2755s
 39353 24576 2.0946e+09   44    4 2.0997e+09 2.0942e+09  0.26%   178 2775s
 40205 25225 2.0960e+09   73    3 2.0997e+09 2.0942e+09  0.26%   178 2794s
 41050 26037 2.0979e+09  103    4 2.0997e+09 2.0942e+09  0.26%   178 2815s
 41954 26852 2.0943e+09   49    3 2.0997e+09 2.0942e+09  0.26%   177 2834s
 42888 27640 2.0952e+09   67    3 2.0997e+09 2.0942e+09  0.26%   177 2851s
 43769 28334 2.0959e+09   83    3 2.0997e+09 2.0942e+09  0.26%   176 2870s
 44573 29100 2.0973e+09  102    4 2.0997e+09 2.0942e+09  0.26%   176 2889s
 45369 29918 2.0974e+09  135    3 2.0997e+09 2.0942e+09  0.26%   176 2908s
 46231 30771 2.0975e+09  168    4 2.0997e+09 2.0942e+09  0.26%   175 2923s
 47155 31654     cutoff  200      2.0997e+09 2.0942e+09  0.26%   174 2938s
 48167 31940 2.0947e+09   64    2 2.0997e+09 2.0942e+09  0.26%   172 2989s
 48508 32752 2.0954e+09   74    2 2.0997e+09 2.0942e+09  0.26%   172 3006s
 49433 33549 2.0963e+09   90    2 2.0997e+09 2.0942e+09  0.26%   171 3022s
 50291 34220     cutoff  108      2.0997e+09 2.0942e+09  0.26%   171 3040s
 51080 35001 2.0991e+09  140    2 2.0997e+09 2.0942e+09  0.26%   171 3058s
 51960 35831 2.0992e+09  173    2 2.0997e+09 2.0942e+09  0.26%   171 3073s
 52868 36703 2.0943e+09   36    9 2.0997e+09 2.0942e+09  0.26%   170 3088s
 53853 37501 2.0947e+09   41    4 2.0997e+09 2.0942e+09  0.26%   168 3102s
 54788 38311 2.0947e+09   47    5 2.0997e+09 2.0942e+09  0.26%   167 3117s
 55690 39104 2.0944e+09   54   10 2.0997e+09 2.0942e+09  0.26%   167 3133s
 56533 39705 2.0944e+09   61   11 2.0997e+09 2.0942e+09  0.26%   166 3149s
 57265 40498 2.0944e+09   67   10 2.0997e+09 2.0942e+09  0.26%   167 3167s
 58098 41330 2.0944e+09   76    5 2.0997e+09 2.0942e+09  0.26%   167 3183s

Cutting planes:
  Gomory: 2
  Lift-and-project: 9
  Implied bound: 760
  MIR: 219
  Flow cover: 166
  Flow path: 69
  Relax-and-lift: 1

Explored 58996 nodes (10067018 simplex iterations) in 3600.46 seconds (2491.30 work units)
Thread count was 32 (of 36 available processors)

Solution count 10: 2.09968e+09 2.09971e+09 2.09972e+09 ... 2.16344e+09

Time limit reached
Best objective 2.099683269776e+09, best bound 2.094169149579e+09, gap 0.2626%

User-callback calls 691154, time in user-callback 0.31 sec
Set parameter TokenServer to value "license-1.hpc.nrel.gov"
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 0.001
Set parameter MIPGap to value 0.001
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (linux64)
Thread count: 36 physical cores, 36 logical processors, using up to 32 threads
Optimize a model with 288636 rows, 1198496 columns and 2444160 nonzeros
Model fingerprint: 0x188c622f
Coefficient statistics:
  Matrix range     [3e-06, 7e+03]
  Objective range  [1e-01, 6e+06]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e-03, 2e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 283046 rows and 912161 columns
Presolve time: 1.35s
Presolved: 5590 rows, 286335 columns, 570564 nonzeros

Ordering time: 0.05s

Barrier statistics:
 AA' NZ     : 2.842e+05
 Factor NZ  : 5.821e+05 (roughly 120 MB of memory)
 Factor Ops : 6.366e+07 (less than 1 second per iteration)
 Threads    : 30

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   1.85458569e+13 -6.38536106e+11  9.34e+07 2.84e-14  2.79e+08     2s
   1   4.63024224e+12 -2.00148505e+11  2.37e+07 3.69e-13  7.14e+07     2s
   2   1.19854358e+12 -1.35563674e+10  6.12e+06 1.80e-11  1.86e+07     2s
   3   5.34460775e+09 -4.51605692e+09  1.43e+04 5.57e-12  6.76e+04     2s
   4   2.77119480e+09  2.81137956e+08  1.49e+03 1.02e-12  1.17e+04     2s
   5   2.42345385e+09  1.31232305e+09  2.07e+02 5.12e-13  4.19e+03     2s
   6   2.29068325e+09  1.73151456e+09  2.90e+01 3.13e-13  1.97e+03     2s
   7   2.24037689e+09  1.89390107e+09  1.58e+01 2.84e-13  1.22e+03     2s
   8   2.17693080e+09  2.00287744e+09  3.70e+00 3.98e-13  6.05e+02     2s
   9   2.15532586e+09  2.04607902e+09  2.34e+00 6.68e-13  3.80e+02     2s
  10   2.13121699e+09  2.07425165e+09  9.76e-01 9.88e-13  1.98e+02     2s
  11   2.11742489e+09  2.08510460e+09  4.46e-01 1.10e-12  1.12e+02     2s
  12   2.10954989e+09  2.09107934e+09  2.17e-01 1.12e-12  6.39e+01     2s

Barrier performed 12 iterations in 2.00 seconds (1.35 work units)
Barrier solve interrupted - model solved by another algorithm


Solved with primal simplex
Solved in 32666 iterations and 2.01 seconds (1.26 work units)
Optimal objective  2.099683270e+09

User-callback calls 264, time in user-callback 0.00 sec
[ Info:  started timer at: 2023-03-22T17:36:30.536
[ Info: Reading /projects/pvsoiling/RELOG/Recycling_40209_0.5/input/solver/case.json...
[ Info:          134 collection centers
[ Info:          268 candidate plant locations
[ Info: Building graph...
[ Info:               26 time periods
[ Info:              268 process nodes
[ Info:             4288 shipping nodes (plant)
[ Info:              134 shipping nodes (collection)
[ Info:            40200 arcs
[ Info: Building optimization model...
[ Info: Optimizing MILP...
[ Info: Re-optimizing with integer variables fixed...
[ Info: Extracting solution...
[ Info:       3648.456333604s: 1 hour, 48 seconds, 456 milliseconds
